frame,dF_F
1566,-3.4391
1567,-3.3612
1568,-3.5164
1569,-3.5305
1570,-3.4937
1571,-3.6536
1572,-3.6425
1573,-3.6756
1574,-3.799
1575,-3.7196
1576,-3.8264
1577,-3.9203
1578,-3.8245
1579,-3.962
1580,-4.0424
1581,-4.0056
1582,-4.1573
1583,-4.2522
1584,-4.224
1585,-4.3815
1586,-2.2933
1587,-1.6308
1588,-1.3657
1589,-1.0936
1590,-1.1931
1591,-1.5006
1592,-1.5824
1593,-1.9215
1594,-1.9694
1595,-2.1055
1596,-2.3094
1597,-2.3286
1598,-2.5551
1599,-2.6988
1600,-2.7417
1601,-2.8614
1602,-2.8649
1603,-2.9689
1604,-3.0971
1605,-3.0335
1606,-3.1879
1607,-3.2722
1608,-3.2341
1609,-3.2144
1610,-3.2461
1611,-3.2267
1612,-3.2811
1613,-3.3755
1614,-3.3839
1615,-3.4003
1616,-3.5306
1617,-3.5016
1618,-3.5418
1619,-3.667
1620,-3.6547
1621,-3.6719
1622,-3.8228
1623,-3.8082
1624,-3.7695
1625,-3.8642
1626,-3.8209
1627,-3.8063
1628,-3.8313
1629,-3.7859
1630,-3.7958
1631,-3.9094
1632,-3.8964
1633,-3.9826
1634,-4.1302
1635,-4.0972
1636,-4.1417
1637,-4.3118
1638,-4.3331
1639,-4.3174
1640,-4.4217
1641,-4.3795
1642,-4.2897
1643,-4.4099
1644,-4.3855
1645,-4.3476
1646,-4.4611
1647,-4.4269
1648,-4.3407
1649,-4.5098
1650,-4.5475
1651,-4.4995
1652,-4.5618
1653,-4.5514
1654,-4.4647
1655,-4.4186
1656,-4.1589
1657,-2.2989
1658,-1.349
1659,-0.9437
1660,-0.7928
1661,-1.0654
1662,-1.1952
1663,-1.6321
1664,-1.8306
1665,-2.0895
1666,-2.3138
1667,-2.478
1668,-2.6935
1669,-2.7861
1670,-3.0115
1671,-3.2177
1672,-3.278
1673,-3.3591
1674,-3.4771
1675,-3.3763
1676,-3.4076
1677,-3.5723
1678,-3.5876
1679,-3.6966
1680,-3.7465
1681,-3.7539
1682,-3.8623
1683,-3.8954
1684,-3.8475
1685,-3.8663
1686,-3.9044
1687,-3.8371
1688,-3.9209
1689,-3.9666
1690,-3.9214
1691,-4.0128
1692,-4.0885
1693,-4.0176
1694,-4.0696
1695,-4.1187
1696,-4.0879
1697,-4.0972
1698,-4.2038
1699,-4.2432
1700,-4.2757
1701,-4.4024
1702,-4.3386
1703,-4.3344
1704,-4.4816
1705,-4.5234
1706,-4.5064
1707,-4.6529
1708,-4.6238
1709,-4.6642
1710,-4.8188
1711,-4.7916
1712,-4.7597
1713,-4.8225
1714,-4.8208
1715,-4.9
1716,-5.1149
1717,-5.1839
1718,-3.3364
1719,-2.6937
1720,-2.8414
1721,-2.8675
1722,-3.0845
1723,-3.3619
1724,-3.4673
1725,-3.6742
1726,-3.7791
1727,-3.8975
1728,-4.043
1729,-4.08
1730,-4.1368
1731,-4.2845
1732,-4.2654
1733,-4.2929
1734,-4.403
1735,-4.4393
1736,-4.493
1737,-4.5764
1738,-4.5063
1739,-4.4884
1740,-4.5897
1741,-4.5726
1742,-4.5818
1743,-4.6347
1744,-4.5721
1745,-4.5158
1746,-4.6105
1747,-4.6622
1748,-4.607
1749,-4.6733
1750,-4.7264
1751,-4.6463
1752,-4.6836
1753,-4.7611
1754,-4.7626
1755,-4.7919
1756,-4.8912
1757,-4.8728
1758,-4.9112
1759,-5.0221
1760,-5.044
1761,-5.0302
1762,-5.0725
1763,-5.1522
1764,-5.1639
1765,-5.2139
1766,-5.3994
1767,-5.4103
1768,-5.3606
1769,-5.4265
1770,-5.4743
1771,-5.4479
1772,-5.516
1773,-5.5571
1774,-5.4891
1775,-2.9928
1776,-2.7762
1777,-2.5209
1778,-1.9507
1779,-1.8662
1780,-2.0483
1781,-2.2847
1782,-2.6593
1783,-2.9397
1784,-3.1155
1785,-3.1735
1786,-3.429
1787,-1.4366
1788,-1.0452
1789,-1.1524
1790,-1.2257
1791,-1.3354
1792,-1.5867
1793,-1.8411
1794,-2.1131
1795,-1.454
1796,-1.7629
1797,-2.0836
1798,-2.0925
1799,-2.3439
1800,-2.5336
1801,-2.6114
1802,-2.7049
1803,-2.8034
1804,-2.7949
1805,-2.7988
