frame,dF_F
1458,-3.7959
1459,-3.7803
1460,-3.8841
1461,-3.7575
1462,-3.8933
1463,-3.9208
1464,-3.8445
1465,-3.9396
1466,-3.7828
1467,-3.74
1468,-3.6111
1469,-3.4657
1470,-3.7239
1471,-3.7007
1472,-3.7039
1473,-3.6725
1474,-3.3906
1475,-2.7755
1476,-0.6814
1477,0.502
1478,1.923
1479,2.3633
1480,1.3186
1481,0.911
1482,0.5591
1483,-0.1538
1484,-0.5478
1485,-0.6812
1486,-0.6502
1487,-0.3919
1488,-0.8461
1489,-1.1352
1490,-1.4059
1491,-1.3508
1492,-1.7345
1493,-1.9738
1494,-2.2682
1495,-2.4309
1496,-2.5554
1497,-2.6267
1498,-2.6045
1499,-2.7695
