Typical Measured Spectrum of Semrock FF01-524/628 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
507.4	0.20298
507.6	0.38824
507.8	0.62629
508.0	0.82643
508.2	0.91136
508.4	0.9289
508.6	0.92957
508.8	0.93219
509.0	0.93761
509.2	0.94217
509.4	0.94118
509.6	0.93668
509.8	0.93152
510.0	0.92772
510.2	0.92841
510.4	0.93318
510.6	0.94436
510.8	0.95452
511.0	0.9642
511.2	0.97144
511.4	0.97456
511.6	0.97314
511.8	0.96873
512.0	0.96239
512.2	0.95549
512.4	0.9502
512.6	0.94674
512.8	0.94702
513.0	0.94944
513.2	0.95466
513.4	0.96149
513.6	0.96854
513.8	0.97429
514.0	0.97794
514.2	0.97854
514.4	0.97626
514.6	0.9711
514.8	0.96398
515.0	0.95619
515.2	0.94853
515.4	0.94185
515.6	0.93761
515.8	0.93598
516.0	0.93731
516.2	0.94186
516.4	0.9486
516.6	0.95651
516.8	0.9649
517.0	0.97248
517.2	0.97912
517.4	0.98315
517.6	0.98497
517.8	0.98281
518.0	0.97936
518.2	0.97337
518.4	0.9664
518.6	0.95989
518.8	0.9544
519.0	0.94987
519.2	0.94759
519.4	0.94723
519.6	0.9497
519.8	0.95376
520.0	0.95903
520.2	0.96609
520.4	0.97205
520.6	0.97808
520.8	0.98245
521.0	0.98451
521.2	0.9845
521.4	0.98231
521.6	0.97793
521.8	0.97194
522.0	0.96508
522.2	0.9584
522.4	0.95258
